generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.9	01000011000010100100001000001011	0.875	0.978387421641323
1	0	0.84	11100010110010011111010010110110	0.625	0.9447906095778875
2	0	0.84	01001100011101111001110100100101	0.75	0.9090238301948468
3	0	0.84	01000011000010100100001001001011	0.8125	0.8708798688011605
4	0	0.86	11101110010011100100001001101101	0.625	0.8296319995351509
5	0	0.82	11101100010011110010000111111111	0.6875	0.8461821455005626
6	0	0.88	01000011000010110000101100000011	0.875	0.795455532294392
7	0	0.9	01000011000010110000101100000011	0.875	0.7947393987782629
8	0	0.92	10000011000010110000001100000011	0.875	0.7649000204860704
9	0	0.9	00010011000011110001101100001101	0.875	0.743697809132163
10	0	0.92	01000011000010110000001100000011	0.875	0.6785144961200058
11	0	0.92	01000011000010110100101100000011	0.875	0.6537117471112218
12	0	0.92	01000011000010110100101100000011	0.875	0.6542453619301368
13	0	0.96	01000011010010110000101100000011	0.875	0.46903921857467085
14	0	0.94	01000011010010110100101100000011	0.875	0.3530803656121592
15	0	1.0	01000011000010110100001100000011	0.9375	0.2670141351505338
16	0	0.98	01000011000010110100001100000011	0.9375	0.22590881163058238
17	0	1.0	01001011000000110100101100000011	1.0	0.2043328980098722
18	0	1.0	01000011000010110100001100000011	0.9375	0.2482144951865407
19	0	1.0	01001011000000110100101100000011	1.0	0.19952741052610695
20	0	1.0	01000011000000110100101100000011	0.9375	0.17996405545756014
21	0	1.0	01001011000000110100101100000011	1.0	0.15607531000892702
22	0	1.0	01001011000000110100101100000011	1.0	0.15070383509420401
23	0	1.0	01001011000000110100101100000011	1.0	0.14515809832897142
24	0	1.0	01001011000000110100101100000011	1.0	0.10198804165177498
25	0	1.0	01001011000000110100101100000011	1.0	0.17955213929121094
26	0	1.0	01001011000000110100101100000011	1.0	0.14150267800674465
27	0	1.0	01001011000000110100101100000011	1.0	0.09764491336603513
28	0	1.0	01001011000000110100101100000011	1.0	0.06491370360968829
29	0	1.0	01001011000000110100101100010011	0.9375	0.10407156841865367
30	0	1.0	01001011000000110100101100000011	1.0	0.05869731497219735
31	0	1.0	01001011000000110100101100000011	1.0	0.05242786733742502
32	0	1.0	01001011000000110100101100000011	1.0	0.09031825871754241
33	0	1.0	01001011000000110100101100000011	1.0	0.11312376299738536
34	0	1.0	01001011000000110100101100000011	1.0	0.07123621024174201
35	0	1.0	01001011000000110100101100000011	1.0	0.052604493970858396
36	0	1.0	01001011000000110100101100000011	1.0	0.07750565787651435
37	0	1.0	01001011000000110100101100000011	1.0	0.05869731497219735
38	0	1.0	01001011000000110100101100000011	1.0	0.08116898520076071
39	0	1.0	01001011000000110100101100000011	1.0	0.060695895659960336
40	0	1.0	01001011000000110100101100000011	1.0	0.054426448025188
41	0	1.0	01001011000000110100101100000011	1.0	0.06514338924040305
42	0	1.0	01001011000000110100101100000011	1.0	0.04615841970265269
43	0	1.0	01001011000000110100101100000011	1.0	0.04188755275564335
44	0	1.0	01001011000000110100101100000011	1.0	0.054426448025188
45	0	1.0	01001011000000110100101100000011	1.0	0.03561810512087102
46	0	1.0	01001011000000110100101100000011	1.0	0.07977794413576073
47	0	1.0	01001011000000110100101100000011	1.0	0.1070478084247537
48	0	1.0	01001011000000110100101100000011	1.0	0.10007440704312773
49	0	1.0	01001011000000110100101100000011	1.0	0.08953409246134604
50	0	1.0	01001011000000110100101100000011	1.0	0.09797874741731472
51	0	1.0	01001011000000110100101100000011	1.0	0.08675134551738668
52	0	1.0	01001011000000110100101100000011	1.0	0.08223392651095528
53	0	1.0	01001011000000110100101100000011	1.0	0.07342828399164565
54	0	1.0	01001011000000110100101100000011	1.0	0.09797874741731473
55	0	1.0	01001011000000110100101100000011	1.0	0.05715613597186596
56	0	1.0	01001011000000110100101100000011	1.0	0.0649667626069697
57	0	1.0	01001011000000110100101100000011	1.0	0.09929024078693136
58	0	1.0	01001011000000110100101100000011	1.0	0.11112518230962239
59	0	1.0	01001011000000110100101100000011	1.0	0.07899377787956435
60	0	1.0	01001011000000110100101100000011	1.0	0.11385487025630033
61	0	1.0	01001011000000110100101100000011	1.0	0.13415133316366734
62	0	1.0	01001011000000110100101100000011	1.0	0.14623282674578042
63	0	1.0	01001011000000110100101100000011	1.0	0.11278992894610576
64	0	1.0	01001011000000110100101100000011	1.0	0.09102221246439604
65	0	1.0	01001011000000110100101100000011	1.0	0.0898873457282128
66	0	1.0	01001011000000110100101100000011	1.0	0.11827521032468173
67	0	1.0	01001011000000110100101100000011	1.0	0.12715077826998003
68	0	1.0	01001011000000110100101100000011	1.0	0.06941425618741241
69	0	1.0	01001011000000110100101100000011	1.0	0.03988897206788036
70	0	1.0	01001011000000110100101100000011	1.0	0.05642502871295098
71	0	1.0	01001011000000110100101100000011	1.0	0.05642502871295098
72	0	1.0	01001011000000110100101100000011	1.0	0.05642502871295098
73	0	1.0	01001011000000110100101100000011	1.0	0.05242786733742502
74	0	1.0	01001011000000110100101100000011	1.0	0.074722910932555
75	0	1.0	01001011000000110100101100000011	1.0	0.09302079315215903
76	0	1.0	01001011000000110100101100000011	1.0	0.14208552743492303
77	0	1.0	01001011000000110100101100000011	1.0	0.11112518230962237
78	0	1.0	01001011000000110100101100000011	1.0	0.07768228450994771
79	0	1.0	01001011000000110100101100000011	1.0	0.08831967802977944
80	0	1.0	01001011000000110100101100000011	1.0	0.09249346603873876
81	0	1.0	01001011000000110100101100000011	1.0	0.12863889827303002
82	0	1.0	01001011000000110100101100000011	1.0	0.12532882421565042
83	0	1.0	01001011000000110100101100000011	1.0	0.12863889827303002
84	0	1.0	01001011000000110100101100000011	1.0	0.13622239206429881
85	0	1.0	01001011000000110100101100000011	1.0	0.10558684193376502
86	0	1.0	01001011000000110100101100000011	1.0	0.07272433024479202
87	0	1.0	01001011000000110100101100000011	1.0	0.08692797215082006
88	0	1.0	01001011000000110100101100000011	1.0	0.062184015663010336
89	0	1.0	01001011000000110100101100000011	1.0	0.06723904886621607
90	0	1.0	01001011000000110100101100000011	1.0	0.09353125383687198
91	0	1.0	01001011000000110100101100000011	1.0	0.09249346603873876
92	0	1.0	01001011000000110100101100000011	1.0	0.07272433024479202
93	0	1.0	01001011000000110100101100000011	1.0	0.09980070147164431
94	0	1.0	01001011000000110100101100000011	1.0	0.11640086208703013
95	0	1.0	01001011000000110100101100000011	1.0	0.10075041100847516
96	0	1.0	01001011000000110100101100000011	1.0	0.10280409498980568
97	0	1.0	01001011000000110100101100000011	1.0	0.09931739429899268
98	0	1.0	01001011000000110100101100000011	1.0	0.13136858621970798
99	0	1.0	01001011000000110100101100000011	1.0	0.09102221246439604
100	0	1.0	01001011000000110100101100000011	1.0	0.08377510551128668
101	0	1.0	01001011000000110100101100000011	1.0	0.0735084965009884
102	0	1.0	01001011000000110100101100000011	1.0	0.046158419702652706
103	0	1.0	01001011000000110100101100000011	1.0	0.04388613344340632
104	0	1.0	01001011000000110100101100000011	1.0	0.06696534329473267
105	0	1.0	01001011000000110100101100000011	1.0	0.10904638911251668
106	0	1.0	01001011000000110100101100000011	1.0	0.08672339573588049
107	0	1.0	01001011000000110100101100000011	1.0	0.10828937636838164
108	0	1.0	01001011000000110100101100000011	1.0	0.10634385467790007
109	0	1.0	01001011000000110100101100000011	1.0	0.08604739177053305
110	0	1.0	01001011000000110100101100000011	1.0	0.095019373839922
111	0	1.0	01001011000000110100101100000011	1.0	0.1085190619990964
112	0	1.0	01001011000000110100101100000011	1.0	0.12588330484113203
113	0	1.0	01001011000000110100101100000011	1.0	0.15270300700628298
114	0	1.0	01001011000000110100101100000011	1.0	0.13048027154294678
115	0	1.0	01001011000000110100101100000011	1.0	0.1309111845322764
116	0	1.0	01001011000000110100101100000011	1.0	0.1238407042126004
117	0	1.0	01001011000000110100101100000011	1.0	0.12333024352788745
118	0	1.0	01001011000000110100101100000011	1.0	0.07899377787956435
119	0	1.0	01001011000000110100101100000011	1.0	0.060695895659960336
120	0	1.0	01001011000000110100101100000011	1.0	0.06896392398249564
121	0	1.0	01001011000000110100101100000011	1.0	0.07550707718875138
122	0	1.0	01001011000000110100101100000011	1.0	0.055914568028238
123	0	1.0	01001011000000110100101100000011	1.0	0.04815700039041568
124	0	1.0	01001011010000110100101100000011	0.9375	0.0649667626069697
125	0	1.0	01001011000000110100101100000011	1.0	0.10503236130828342
126	0	1.0	01001011000000110100101100000011	1.0	0.12793494452617638
127	0	1.0	01001011000000110100101100000011	1.0	0.08604739177053305
128	0	1.0	01001011000000110100101100000011	1.0	0.11888274994744472
129	0	1.0	01001011000000110100101100000011	1.0	0.07550707718875138
130	0	1.0	01001011000000110100101100000011	1.0	0.05460307465862137
131	0	1.0	01001011000000110100101100000011	1.0	0.07123621024174202
132	0	1.0	01001011000000110100101100000011	1.0	0.0649667626069697
133	0	1.0	01001011000000110100101100000011	1.0	0.09153267314910901
134	0	1.0	01001011000000110100101100000011	1.0	0.08953409246134604
135	0	1.0	01001011000000110100101100000011	1.0	0.08953409246134604
136	0	1.0	01001011000000110100101100000011	1.0	0.09858628704007773
137	0	1.0	01001011000000110100101100000011	1.0	0.07272433024479202
138	0	1.0	01001011000000110100101100000011	1.0	0.08099235856732732
139	0	1.0	01001011000000110100101100000011	1.0	0.051643701081228656
140	0	1.0	01001011000000110100101100000011	1.0	0.07550707718875137
141	0	1.0	01001011000000110100101100000011	1.0	0.08326464482657371
142	0	1.0	01001011000000110100101100000011	1.0	0.11766833551587812
143	0	1.0	01001011000000110100101100000011	1.0	0.1058333939931871
144	0	1.0	01001011000000110100101100000011	1.0	0.08099235856732732
145	0	1.0	01001011000000110100101100000011	1.0	0.062184015663010336
146	0	1.0	01001011000000110100101100000011	1.0	0.09004455314605901
147	0	1.0	01001011000000110100101100000011	1.0	0.08377510551128667
148	0	1.0	01001011000000110100101100000011	1.0	0.08526322551433668
149	0	1.0	01001011000000110100101100000011	1.0	0.07768228450994771
150	0	1.0	01001011000000110100101100000011	1.0	0.09676433298574812
151	0	1.0	01001011000000110100101100000011	1.0	0.09448096337370283
152	0	1.0	01001011000000110100101100000011	1.0	0.06018543497524735
153	0	1.0	01001011000000110100101100000011	1.0	0.10179928215940728
