generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.9	10111010010000011010111000111101	0.625	0.9761700832645943
1	0	0.9	00100000011110000101010011110100	0.75	0.9610056157970673
2	0	0.9	11000001100000111000011100101011	0.75	0.9169716687573318
3	0	0.9	01111011010001000101010100010111	0.6875	0.8625631211672428
4	0	0.8	10100000011010000000111010000111	0.8125	0.8500090442055395
5	0	0.9	11110000010001000101010100100000	0.625	0.7783825314807051
6	0	0.9	10111011010001000001010110100000	0.6875	0.7236171558264839
7	0	0.9	10111010010000011001010110100101	0.625	0.6817000147753223
8	0	1.0	10110000010010011001010100001011	0.6875	0.7350403181824725
9	0	0.9	00100000011010110011010000001010	0.6875	0.7230192911177603
10	0	1.0	10000010011010110011010000001010	0.6875	0.6574870268784477
11	0	1.0	10100000000010011001011101100101	0.6875	0.6660864524779624
12	0	0.9	10000110011010110011010000100000	0.625	0.6776783684116436
13	0	1.0	10100100000010011011010100011011	0.75	0.6691379767253048
14	0	0.9	10100010011110110101011101001010	0.6875	0.6383161251974293
15	0	0.9	10000100000010011001010000001100	0.8125	0.6706253144165429
16	0	1.0	11100101011010000010111101001000	0.6875	0.6393196852858386
17	0	0.9	10100000010000011001011100100000	0.6875	0.6468327477173001
18	0	0.9	10000010011110110101010001011100	0.625	0.5804869766313145
19	0	1.0	10000110010010100101011100001100	0.6875	0.5956827130316603
20	0	1.0	10100000011010110101010001011100	0.6875	0.568019463475708
21	0	1.0	00101000000010001001010000001100	0.75	0.5414199310984549
22	0	1.0	10101000000010001001010000001100	0.6875	0.505806138264601
23	0	1.0	10001100010010000000011101001100	0.6875	0.5321808642219729
24	0	0.9	10000110010010000000011101001100	0.8125	0.506866571971699
25	0	1.0	11000101110010000000010000001100	0.6875	0.4376012751071478
26	0	0.9	00000110010010001001010101001000	0.75	0.4472917793683656
27	0	1.0	10000110010010001001010001000000	0.8125	0.3851024373451566
28	0	1.0	10000100010010001001010001000000	0.875	0.39914605102547396
29	0	1.0	10000110010000001001010001000000	0.875	0.41828011561603406
30	0	1.0	10000100010000011001010001000000	0.875	0.37412370604182027
31	0	1.0	10000100010110001001010001011000	0.9375	0.3338094237978221
32	0	1.0	10000100010000001001010001000000	0.9375	0.309924622803437
33	0	1.0	10000100010110001001010001011000	0.9375	0.349069852218213
34	0	1.0	10000100010110001001010001011000	0.9375	0.36393879372844073
35	0	1.0	10000100010110101001010001011000	0.875	0.3147066956510366
36	0	1.0	10000100010000001001010001000000	0.9375	0.29270113844316953
37	0	1.0	10000100010000001001010001000100	0.875	0.3035386728535726
38	0	1.0	10000100010001001001010001001000	0.8125	0.2693943498750077
39	0	1.0	10000100010000001001010001000000	0.9375	0.2792474770624155
40	0	1.0	10000100010110001000010001011000	1.0	0.3175402185745795
41	0	1.0	10000110010000001000110001000000	0.875	0.3177655772107042
42	0	1.0	10000100110000001000010001001000	0.875	0.271270078427541
43	0	1.0	10001100010000001000010001001000	0.875	0.23658115623288314
44	0	1.0	10000100010000001000010001000000	1.0	0.19420060660663022
45	0	1.0	11000100010000001000010001000000	0.9375	0.20041303900606366
46	0	1.0	10000100011000001000010001000000	0.9375	0.1923025033731713
47	0	1.0	10000100010000001000010001000100	0.9375	0.14789757338226378
48	0	1.0	10000100010000001000010001000000	1.0	0.12988046621665797
49	0	1.0	10000100010000001000010001000000	1.0	0.1478445143849824
50	0	1.0	10001100110000001000011001000000	0.8125	0.1746672640698978
51	0	1.0	10000100010000001000010001000000	1.0	0.14511482643830442
52	0	1.0	10000100010001001000010001000000	0.9375	0.12673593543991282
53	0	1.0	10000101010000001000010001000000	0.9375	0.07469700544733496
54	0	1.0	10000100010000001000010001000000	1.0	0.09112891367184073
55	0	1.0	10000000010000001000000001000000	1.0	0.10826142658687544
56	0	1.0	10000100010001001000010001000001	0.875	0.10192046708975419
57	0	1.0	10000100010000001000010001000000	1.0	0.11728851194983192
58	0	1.0	10000100010000001000010001000000	1.0	0.11827521032468172
59	0	1.0	10000100010000001000010001000000	1.0	0.11984448811584963
60	0	1.0	10000100010000001000010001000000	1.0	0.085102509424011
61	0	1.0	10000100010000001000010001000000	1.0	0.07494288906005228
62	0	1.0	10000100010000001000011001000000	0.9375	0.10306085352091014
63	0	1.0	10000100010000001000010001000000	1.0	0.09026519972026102
64	0	1.0	10000100010000001000011001000000	0.9375	0.12175003139325094
65	0	1.0	10000100010000001000010001000000	1.0	0.12218429343890529
