generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.86	1001111011101010111110000100000010001100110010111111110000101000	0.75	0.9865179876243063
1	0	0.82	1110111100110011010001001011011111011110011101101010000011111101	0.65625	0.9695791130462228
2	0	0.86	1101111111011101110111011101011111101110010000000100110101101101	0.71875	0.9463565573839312
3	0	0.8	1110100001100100011111011101000010111010111010000101110100000100	0.6875	0.9389167046707635
4	0	0.88	1111000110000100101001010010010001011100101111001100111100010001	0.625	0.9347555115225255
5	0	0.78	1110010110000000111001101000111000100001111000101011011101011101	0.59375	0.9237589402638021
6	0	0.82	1110100001100100101101010101010010001010111000101011011101011110	0.71875	0.9128157054195731
7	0	0.82	0011111111101100110001001111011110010110101111001100111101111110	0.6875	0.8796131910388478
8	0	0.86	0111111010101110101101010011000010111010111011100000010100100110	0.6875	0.8458546556092964
9	0	0.78	0111111010101110101101010001011110011110101111001100111101111110	0.71875	0.8351088323285303
10	0	0.84	0110100001100100101101010101111010001010111001101011011101011111	0.75	0.7926071076554332
11	0	0.82	0111111010101100101101011011000011101110111010100000111111011110	0.6875	0.7424147420323738
12	0	0.78	0111111010100100101101010101111010001010111001111011011101011111	0.6875	0.7395239103956299
13	0	0.84	0111111111001100110000001110011110011010111011001011011111011110	0.625	0.7232826547044227
14	0	0.84	1101111010100111101101110011011110011110101111100100010100110110	0.6875	0.685586720731865
15	0	0.84	1111111011101111101101010011010010111011111011111100000110111100	0.71875	0.6690508335490647
16	0	0.84	0000101000101001011001010011000010111010001110101001010100011111	0.71875	0.6880118341340318
17	0	0.9	1111111011101111111101010011011110011110111011111100000100100110	0.78125	0.6761514818126592
18	0	0.86	1111111011101111101101011010001010111110101011100000010100100110	0.75	0.6677243146103209
19	0	0.82	1111111011101111111101010011011110011110101011111101010100100110	0.8125	0.6423812353578702
20	0	0.9	1111111011101111111101010011011110011110111011111111011100011111	0.84375	0.5850243475984936
21	0	0.9	1111111011101010101101011010001011111110101010100001010100111110	0.78125	0.5525309857058851
22	0	0.9	0111111011101111111101010011011110011110101011111101010100100110	0.78125	0.5124053022405627
23	0	0.86	1111111010101111101101010010011000111110101011111101010100101110	0.84375	0.5087207910362036
24	0	0.92	1110111010101111101101010010011001111110101011111101000100100111	0.8125	0.49836363525989774
25	0	0.9	1011111111101111111101010011011110011110101011111101010100101110	0.78125	0.49024119875664296
26	0	0.94	0111110010101111111101010011011010111110101011111101010100100110	0.84375	0.4685823444848988
27	0	0.98	1110111010101111101100010010011001111110101011111101000100100110	0.875	0.451840789230543
28	0	0.96	1111110011101111101101000010011011111110101011111101000100100110	0.8125	0.4296967000496117
29	0	0.96	0111111110101111111101010010011001111110101011111101010100100110	0.9375	0.37241762729084515
30	0	0.96	1101110011101111110101010010001011111110101011111101010100100111	0.84375	0.3764285614101948
31	0	0.96	0111111011101111101101010010011011111110101011111001000100100110	0.875	0.3694771555004723
32	0	0.96	1011111110101111101001010010011010111110101011111111010100100110	0.90625	0.3499916402873539
33	0	1.0	0111111110101111111101010010011001111110101011111111010100100110	0.96875	0.3290413161029908
34	0	0.98	0111111011101111111101010010011001111110101011111101000100100111	0.875	0.34685789371830744
35	0	0.96	0111111110101111111101010010011001111110101011111001010100100110	0.90625	0.35057518864430415
36	0	1.0	0111111011101111111101010010011001111110101011111111010100101111	0.90625	0.36197702846934243
37	0	0.96	1011111110101011101111010010011010111110101011111111010100100110	0.875	0.35463198528514217
38	0	0.98	1111111110101111111101010010011011111111101011111101010100100110	0.96875	0.34449947075986076
39	0	1.0	1111111010101011111101010010011011111111101011111101010100100110	0.90625	0.33780794947738846
40	0	1.0	1111011110101111110101010010011011111110101011111101000100100110	0.90625	0.3306647890123009
41	0	1.0	1111111110101111110101010110011011111110101011111101010101100110	0.96875	0.3408563390602727
42	0	1.0	1111111010101111110101010110011011111110101011111101010101100110	1.0	0.3163285420560931
