generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.95	0010000101010100101110000100000000110010111001010100111100010110	0.6875	0.9888307252283789
1	0	0.875	0010000101010100101110000100000000110010111001010100111100010110	0.6875	0.9727769845212293
2	0	0.825	1001010001011111101000011100100000000111110000010000101100101001	0.625	0.9585392707229066
3	0	0.95	0100001011001100101000111111111100000110101111000110001101000101	0.625	0.9448614723806729
4	0	0.9	1010000110010010000001100100000110111000001111011001011100011001	0.65625	0.9386300069321597
5	0	0.85	0010111011101000101000110111101101011001111000011010011110110110	0.65625	0.9369888486592596
6	0	0.9	0110111100010011100001001001111100000110101111000110001101000101	0.625	0.9297799626782004
7	0	0.95	1100110111110000010000011001000101100110000111011000011100011001	0.6875	0.9174697835831315
8	0	0.875	1100110111110000010000011001000101100110000111011000011100011001	0.6875	0.9208190563518864
9	0	0.9	0010010001011110110000011001000100000110101111000110000101000101	0.6875	0.8959702055035349
10	0	0.85	0110010001011100100000011000100010111001100110010000101100100001	0.75	0.8781898489640427
11	0	0.9	0110010001011100100000011000100010011001100110010001101100100011	0.78125	0.8523308077005469
12	0	0.8833333333333333	0110000001100101010000011001000101000110000011000000111000100010	0.75	0.8039364757102981
13	0	0.9	0000000101010100101110000100100010011001011011100001111010110001	0.625	0.7757871058320805
14	0	0.9	0010010001011010110000011001000100000110101111010110000101000101	0.71875	0.7703165994910778
15	0	0.85	0010000100010100001110000100000000000111110000010000101100100001	0.65625	0.7638984946603077
16	0	0.85	0001010001000101010000011000100010011001100110010001101100110101	0.75	0.7708523521813266
17	0	0.9	0010000101010101010010010000100010011001100110010000101100100001	0.71875	0.7739450177852119
18	0	0.875	0010000101010101010010010000100010011001100110010000101100100001	0.71875	0.7478310417420488
19	0	0.85	0110000001100101010000011001000101000110000011000000111000100010	0.75	0.7458175032786446
20	0	0.9	0000000101010100100110000100100010011001100110010000101100100011	0.71875	0.7011253851968995
21	0	0.95	0000000101000101010000011000100010011001100110010001111100010101	0.75	0.6406296100489672
22	0	0.9	0010000001101101010000011001000101000111000011000000111000100010	0.71875	0.5932471676009201
23	0	0.9	0001010001000101010000010000100010011001100110010001101100110101	0.75	0.5281796919405738
24	0	0.8833333333333333	0001010001000101010000011000100010011001100110010001111100010101	0.75	0.5034885728197123
25	0	0.9	0010000101110100010110010000100110010001100110010001101100110101	0.71875	0.5283436542855408
26	0	0.9	0111010001011100100000011001000101000110000011000000111000100010	0.6875	0.5369662711193873
27	0	0.95	0001010001000101010000011000100010001001100110010001101100100010	0.78125	0.5383210993872415
28	0	0.95	0001010001000101010000010000100010011001100110010001101100110101	0.75	0.4981784262480477
29	0	0.925	0001010001000101010000011000100010011001100110011001101100010001	0.8125	0.4697693527467197
30	0	0.9166666666666666	0001010001000101010000011000100010011001100110011001101100010001	0.8125	0.43548792941117376
31	0	0.8875	0001010001000101010000011000100010011001100110011001101100010001	0.8125	0.4321341066771275
32	0	0.88	0001010001000101010000011000100010011001100110011001101100010001	0.8125	0.38269013072114644
33	0	0.95	0011010001000101010000011000100010011001100110011001101100010001	0.78125	0.3222345198056559
34	0	0.925	0011010001000101010000011000100010011001100110011001101100010001	0.78125	0.25905905183002853
35	0	0.9166666666666666	0011010001000101010000011000100010011001100110011001101100010001	0.78125	0.21168970642267734
36	0	0.95	0001010001000101010000011000100110011001100110011001101100010001	0.8125	0.17845418423326254
37	0	1.0	0000000101000101010000011000000010011001100110011001101100010001	0.78125	0.18502466861943814
38	0	0.9	0001010001000101010000011000100010011001100110011001101100010001	0.8125	0.1563545705251543
39	0	0.9125	0101010001000101010000011000100010011001000110011001101100010001	0.78125	0.13992608895123493
40	0	0.95	0001010101000101010000011000100010011011100110011001101100010001	0.78125	0.11858862214680757
