generation	subpopulation	best estimate	genome	ground truth	entropy
0	0	0.95	1110010100011111001010001110101010010100000110111000100100101010	0.6875	0.99202150427568
1	0	0.9	0101010110100011110010000101011011101001000011010111101011100011	0.6875	0.9800275126817629
2	0	0.9	0101000110010101011111101110101101110100101110110010100111111001	0.65625	0.9560465194372927
3	0	0.9	1110010000011101011111101110101101110100101110110010100111111001	0.625	0.9218942898568468
4	0	0.85	1101011010010001010101111101010101100110101110011100011010110001	0.75	0.9185887605969651
5	0	0.9	0010001111111010001001110101101100000110101110011000011010110001	0.6875	0.898645033072538
6	0	0.9	0010001111111110001001110101110101100110101110011100011010110001	0.625	0.8736976215200766
7	0	0.9	1111011010010001010101111101010101100110101100011100011010110001	0.75	0.8723895964006649
8	0	0.85	0001010110010001010101111101010101100110101110110010100111111001	0.625	0.8406427768198157
9	0	0.85	0000010110010001010101111101010101100110101110110010100111111001	0.625	0.8359074533902314
10	0	0.85	0010010100011110001001110101111100110010111010100101101001011001	0.625	0.8421059819899768
11	0	0.95	1101011010010001010101111101010101100110101110010100011010110001	0.75	0.8116492017156048
12	0	0.85	1101011010010001010100111101010100100010101110111001001001100001	0.65625	0.7781116087705469
13	0	0.9	0010011010010001010101111101010101100110101110010100011010110001	0.75	0.6892762122746747
14	0	0.95	0000010010010001001111111101101100110100101110110110011010111001	0.6875	0.605113454494081
15	0	0.9	1110011010010001101001111101010111100110101110011000011010110001	0.78125	0.49956735578101263
16	0	0.85	1000010010010001010101011101010101000110101110011100011010111001	0.71875	0.49269307302135995
17	0	0.95	0010011010010001010101111101010101100110101110010100011010100001	0.71875	0.4447162557702271
18	0	0.95	0010011010010001010101111101010101100110101110010100011010110001	0.75	0.43554007160879993
19	0	0.9	0010011010010001010101111101010101100110101110010100011010110001	0.75	0.4200352251120903
20	0	0.9	1110011010010001010101111101010101100110101110011000011010110001	0.6875	0.3737471125628342
21	0	0.9	0100011010010001010101111101010101000110101110010100011010110001	0.8125	0.35163316803499894
22	0	0.9	1110011010010001010101111101010101000110101110011100011010111001	0.75	0.3601591569469258
23	0	0.95	0110011010110001010101111001010101100110101110011100011010110001	0.8125	0.34682190824821535
24	0	1.0	0100011010010001010101101101010101100110101110010100011010110001	0.8125	0.30973612148894436
25	0	0.95	1110011010011001000101111101000101100110101110010100011010110001	0.78125	0.28679745683448055
26	0	0.95	0100011010010001001101110101110101100110101110010100011001110001	0.6875	0.24669282853578217
27	0	1.0	0100011010010001010101101101010101100110101110010100011010110001	0.8125	0.2127775298200711
28	0	0.95	1100011010010011010101101101010101000110101110010100011010110001	0.78125	0.21846962317685667
29	0	0.95	1110011010011001000101111101010101000110101110010101011010110011	0.71875	0.22520058236948867
30	0	0.95	1110011010011001000101111101000101100110101110010100011010110001	0.78125	0.23083249090735997
31	0	1.0	0101011000010001010101101101010101000110101110010101011010110011	0.78125	0.22719715126156156
32	0	0.95	1110011110011001000101111101000101100110101110010100011010110001	0.75	0.23123724034946028
33	0	0.95	1100011010010001010101101101010101000110101110010100011010110001	0.8125	0.22097333772092204
34	0	0.95	1100011010010001010101101100010101100110101110010100011010110001	0.75	0.2214067471200057
35	0	1.0	0100011010011001110101101111010101100110101110010100011010110001	0.8125	0.24526228124435245
36	0	0.95	0100011010010001000101101101010100100110101100010110011010110001	0.8125	0.27848590315883465
37	0	0.95	0100011010011001010101111101000101100111101110010101011010110001	0.8125	0.29472912613520813
38	0	0.95	0100011010011011010101101101010101100110100110011110011010111001	0.75	0.28556541158577375
39	0	0.95	1101011010010001010101101101010101100110101100010100011010111001	0.78125	0.2928581939204116
40	0	1.0	0100011010011001010101111101000101100110101100010110011110110001	0.78125	0.28218379131673027
41	0	1.0	0100011010010001010101101101000101100110101110010100011010111001	0.84375	0.3037086705157695
42	0	1.0	0100011010011001010101101101010101100110100110010100011010110001	0.84375	0.324946279193022
43	0	0.95	0100001010010001010101101101010100100110100101010110011010010001	0.8125	0.3467105294415203
44	0	0.95	0000011110011001010101101101000101100110100110010100011010110001	0.8125	0.3595043860263235
45	0	1.0	0100010010010001010101101101000101100110100110010100011010110001	0.8125	0.3460088514824707
46	0	1.0	0110011010010101010101101101000101100110100110010100011010110001	0.84375	0.31481679932949647
47	0	0.95	0100011010011001000101110101000101100110100110010100011011010001	0.84375	0.32355493331431034
48	0	1.0	1110011010010001010101101101000101100110100110010100011111010011	0.84375	0.3157631965250182
49	0	1.0	0100011010011001010101101101000101100110101110010100010000110001	0.78125	0.304144544364535
50	0	1.0	1100011010011001010101101011000101100110100110010100011010110001	0.90625	0.28609700089246975
51	0	1.0	0110011010011001010101101001010101000110100110010100011010010001	0.90625	0.28503471380383766
52	0	1.0	0110011011011001010101111101000101100110100110010101011010010001	0.90625	0.30149925723499155
53	0	1.0	0100011010010001010101101101000101100110100110010100011011010001	0.90625	0.2996344526952609
54	0	1.0	0110011011011001010101111101000101100110110110010100011011010001	0.9375	0.30185846504799874
55	0	1.0	0110011010011001010101101011000101100110100110010101011010010001	0.96875	0.29162427851851686
56	0	1.0	0110011010011001010101101101000101100110100110010100011011010001	0.96875	0.2742764549243955
57	0	1.0	0100011010011001010101111101000101100110100110010100011011010001	0.90625	0.27932892570397205
58	0	1.0	0110011010011001010101101101000101100110100110010100011011010001	0.96875	0.25400703774796674
59	0	1.0	0110011010011001010101101001000101100110100110010101011010110001	0.96875	0.2456546088787292
60	0	1.0	0110111010011001010101101101000101100110100110010100011011010001	0.9375	0.2529560154224466
61	0	1.0	0110011010011001010101101101000101100110100110010100011011010001	0.96875	0.23301042145502737
62	0	1.0	1101011010011011010001101101000111010110100110010100011011010001	0.96875	0.2109020118154294
